Application,Genre,Supported_Platforms
Archery Pro,Sports,Meta Quest
Artemis VR Demo,Education,Meta Quest
Bait!,Game,"Meta Quest, SteamVR"
Baseball Pro,Sports,Meta Quest
Beat Saber,Music,"Meta Quest, SteamVR, PlayStation VR"
Derby Baseball,Sports,Meta Quest
Detective VR Demo,Experience,Meta Quest
First Encounters,Game,Meta Quest
Forever Pets,Game,Meta Quest
Fruit Ninja,Game,"Meta Quest, SteamVR, PlayStation VR"
Gorilla Tag,Social,"Meta Quest, SteamVR"
Guitar Strummer,Music,Meta Quest
Half Life: Alyx,Game,SteamVR
Human Anatomy,Education,Meta Quest
Ironstrike,Game,Meta Quest
Maestro (Demo),Experience,Meta Quest
Meta Quest 3: Home,System,Meta Quest
Oculus First Steps,Game,Meta Quest
Roblox,Social,Meta Quest
Shapes XR,Productivity,"Meta Quest, SteamVR"
ShapesXR,Productivity,"Meta Quest, SteamVR"
Spatial Piano,Music,Meta Quest
Tennis Esports,Sports,Meta Quest
The Underpresents,Experience,Meta Quest
The Underrepresents,Experience,Meta Quest
Tilt Brush VR,Creativity,"SteamVR, Meta Quest"
VR Hockey Reborn,Sports,Meta Quest
VTOL VR,Simulation,SteamVR
War of Wizards: Apprentice Edition,Game,Meta Quest
Youtube,Media,"Meta Quest, Apple Vision Pro"
