Title (internal),URL,Application,Activity,Task,Action,Feedback,Feedforward,∫Handedness,Multi-action,XR,Interface_Element,Interaction_Technique,,,,,
Raycast Selection on Meta Quest Homeå,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/25d2ee06-9acd-4d73-7b2b-8d87709a5700/public,Meta Quest 3: Home,System Control,Selection,"Controller Pose, Trigger","Haptic Bump, Selection Effect",Hover Effect,Either,,Passthrough MR,"Button, Raycast Pointer, 2D Menu",Raycast Selection,,,,,
Move Window,,Meta Quest 3: Home,,Object Manipulation,"Controller Pose, Trigger",Hpatic Bump,Hover Effect,Either,,Passthroguh MR,"Window Handle, Raycast Pointer",Raycast Move,,,,,
Beat Saber Menu Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/1bdf9063-ec02-41e2-708c-6968cd09fb00/public,Beat Saber,"Navigation, Configuration",Selection,"Controller Pose, Trigger","Haptic Bump, Hover Effect",Hover Effect,,,,"2D Menu, Button",Raycast Selection,,,,,
Beat Saber Song Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/727af98e-a08b-406a-4b8b-f91f77935100/public,Beat Saber,Activation,Selection,"Controller Pose, Trigger","Haptic Bump, Hover Effect",Hover Effect,Dominant,,VR,"2D Manu, Button",Raycast Selection,,,,,
Beat Saber Striking Block,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f0abce51-6a19-4eb4-f870-b272b4c21d00/public,Beat Saber,Slashing,Striking,"Controller Pose, Trigger","Hapctic Bump, Audio",Moving Target,Either,,VR,"Weapon, Moving Target",Slashing,,,,,
Beat Saber Ducking,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/3110985c-c10f-446a-bb8b-7a8058020000/public,Beat Saber,Evading,Ducking,HMD Pose,Audio,Moving Obstacle,,,VR,Moving Obstacle,Ducking,,,,,
Beat Saber Dodging,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/b4b7b6ae-2ebc-45aa-6bea-1072f22ac200/public,Beat Saber,Evading,Dodging,HMD Pose ,Audio ,Moving Obstacle ,,,VR,Moving Obstacle,Dodging,,,,,
VTOL Battery On,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e3bfd084-3dec-4f75-ada5-9e2f01352500/public,VTOL VR,Activation,Vehicle Operation,"Controller Pose, Trigger","Haptic Bump, Button Hover Effect, Light Indicator","Text, Hand Gesture",Either,,VR,Switch,,,,,,
VTOL Joystick,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/4db5099f-6f6b-4ff1-0402-08949379a700/public,VTOL VR,Manipulation,Vehicle Operation,"Controller Pose, Trigger, Grip","Haptic Bump, Joystick Move","Text, Hand Gesture ",Either,,VR,Joystick,Move Joystick,,,,,
VTOL HUD Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/57995846-8cd3-44ac-c4ac-db3fb29e5000/public,VTOL VR,,Selection,Trigger,"Haptic Bump, Button Hover Effect",,,,VR,Button,Button Selection,,,,,
VTOL Thumbstick,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/fea6bd72-9f18-4a5b-3408-3a210e0a9a00/public,VTOL VR,,Control,"Controller Pose, Trigger",Joint Moving,,,,VR,Thumbstick,Move Thumbstick,,,,,
VTOL Thruster Control,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/36c9555d-0891-4208-b4c8-1a02a8815d00/public,VTOL VR,,Control,"Controller Pose, Trigger","Haptic Bump, Button Hover Effect",,,,VR,Lever,Drag,,,,,
VTOL Number Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/25bf9a3f-5734-4552-3b4c-2c88d9115800/public,VTOL VR,,Selection,Trigger,"Haptic Bump, Button Hover Effect",,,,VR,Button,Button Selection,,,,,
VTOL Knob Control,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/6d0384c3-84a5-4102-cac8-465bbc9b1c00/public,VTOL VR,,Selection,Trigger,"Haptic Bump, Button Hover Effect",,,,VR,Knob,Knob Control,,,,,
VTOL HUD Button Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/228d549e-5c53-43c4-1085-31385aba9f00/public,VTOL VR,,Selection,Trigger,"Haptic Bump, Button Hover Effect",,,,VR,Button,Button Selection,,,,,
VTOL Seat Adjustment,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/1c041e12-1861-4572-bc05-aa4b11b4d700/public,VTOL VR,,Control,Trigger,"Haptic Bump, Button Hover Effect",,,,VR,Button,Button Selection,,,,,
Fruit Ninja Grab Object,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/da2b7e5c-639b-4b9c-ee8a-143548f65e00/public,Fruit Ninja,Object Manipulation ,Selection,"Controller Pose, Trigger","Haptic Bump, Selection Effect ",Text ,Either ,,VR,Raycast Pointer,Raycast Selection,,,,,
Fruit Ninja Button Click,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/f5c43c6e-89a1-4dbe-a93a-fd5ed8ba9900/public,Fruit Ninja,Configuration,Selection,"Controller Pose, Trigger","Haptic Bump, Audio ",,,,VR,Button,Button Selection,,,,,
Fruit Ninja Slice Object,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/218f5dde-1776-42aa-1753-d71e141fd200/public,Fruit Ninja,Slashing ,Striking,"Controller Pose, Trigger","Haptic Bump, Audio ",Moving Target,Either,,VR,Weapon ,Slashing,,,,,
Fruit Ninja Teleport,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d2f18e16-0fa3-4c6f-b049-93c1acc29400/public,Fruit Ninja,"Locomotion, Navigation",Selection,"Controller Pose, Trigger",Haptic Bump,,Either,,VR,Raycast Pointer,Raycast Selection ,,,,,
Fruit Ninja Scroll Screen,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/d7b43bdf-a2a0-4874-da64-e5aba47a9400/public,Fruit Ninja,Configuration,Swipe,"Controller Pose, Trigger",Haptic Bump,,Either,,VR,Raycast Pointer ,Raycast Move,,,,,
Alyx Climb Ladder,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/49434390-9c31-49af-910e-948a14cc3200/public,Half Life: Alyx,Locomotion,Climbing,"Controller Pose, Grip","Haptic Bump, Hand Gesture",,Both,"Sequential, Simulataneous",VR,"Ladder, Hands",Ladder Climbing,,,,,
Alyx Gravity Gloves,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/c75cbc6f-7d6b-4621-684d-defdf2365c00/public,Half Life: Alyx,,Object Acquisition,"Controller Pose, Trigger, Hand Flick","Haptic Bump, Highlighting, Audio",,Either,"Sequential, Simulataneous",VR,Raycast Pointer,Gravity Glove,,,,,
Alyx Grab Object,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/cc69cfc7-2630-4276-e802-9bc86a322000/public,Half Life: Alyx,Manipulation,Grabbing,"Controller Pose, Trigger","Haptic Bump, Weighted Controls",,Either,,VR,,Grab and Place,,,,,
Alyx Door Open,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/a3b4a2d9-3650-4bc5-5717-691cd4b7a200/public,Half Life: Alyx,Manipulation,Door Opening,"Controller Pose, Trigger",Haptic Bump,,Either,,VR,,Grab and Place,,,,,
Alyx Multi-Tool - Unlock,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/58353e93-7533-4d7f-ede1-50739fcec700/public,Half Life: Alyx,,Selection,"Controller Pose, Trigger",Haptic Bump,,,,VR,,Raycast Selection,,,,,
Alyx Multi-Tool - Hover,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/e8ebffff-8575-4a49-0cd0-5d83d2e1af00/public,Half Life: Alyx,,Aim,Controller Pose,Highlighting,,,,VR,,Raycast Selection,,,,,
Alyx Fire Mode Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/433776ca-60ee-495a-5adf-e06a70513900/public,Half Life: Alyx,,Selection,Controller Button,"Haptic Bump, Audio",,,,VR,,Object Manipulation,,,,,
Alyx Weapon Selection,https://imagedelivery.net/VHJK16c5fHmNaL_z0o4Kaw/25ebd431-4bad-47f1-db47-195a3916d300/public,Half Life: Alyx,,Selection,"Controller Button, Movement","Haptic Bump, Audio",,,,VR,UI Element,Controller Selection,,,,,
